Period Start,Period End,Days,Principal,Rate,Interest
16/10/2019,22/10/2019,7,2024.00,0.20,0.080000
23/10/2019,07/01/2020,77,24.00,0.20,0.010000
08/01/2020,25/06/2020,170,24.00,0.10,0.010000
26/06/2020,23/07/2020,28,2024.00,0.10,0.160000
24/07/2020,06/10/2020,75,2024.00,0.01,0.040000
07/10/2020,29/03/2021,174,24.00,0.01,0.000000
30/03/2021,10/03/2022,346,2024.00,0.01,0.190000
11/03/2022,08/06/2022,90,2015.00,0.01,0.050000
09/06/2022,20/07/2022,42,2015.00,0.01,0.020000
21/07/2022,07/09/2022,49,2015.00,0.01,0.030000
08/09/2022,19/10/2022,42,2015.00,0.05,0.120000
20/10/2022,06/12/2022,48,2015.00,0.10,0.260000
07/12/2022,18/01/2023,43,2015.00,0.18,0.430000
19/01/2023,08/03/2023,49,2015.00,0.23,0.620000
09/03/2023,26/04/2023,49,2015.00,0.48,1.300000
27/04/2023,14/06/2023,49,2015.00,0.55,1.490000
15/06/2023,26/07/2023,42,2015.00,0.80,1.850000
27/07/2023,06/09/2023,42,2015.00,1.05,2.430000
07/09/2023,30/11/2023,85,2015.00,1.30,6.100000
01/12/2023,06/05/2025,523,2015.00,1.40,40.420000
